ID,目次,校区名,date,戦没地,名寄せ
37921,北九州市八幡東区,槻田五区,1945-03-20,ビルマ,ビルマ方面
37922,北九州市八幡東区,槻田五区,1944-09-09,バシー海峡,バシー海峡
37923,北九州市八幡東区,槻田五区,1945-05-15,レイテ島,フィリピン方面
37925,北九州市八幡東区,槻田五区,1945-07-12,朝鮮海峡,朝鮮
37927,北九州市八幡東区,槻田五区,1943-08-10,久留米病院,福岡県内
37928,北九州市八幡東区,槻田五区,1945-03-21,カムラン湾沖,インドシナ方面
37929,北九州市八幡東区,槻田五区,1945-05-02,ビルマ国,ビルマ方面
37930,北九州市八幡東区,槻田五区,1945-04-12,"沖
縄沖",沖縄
37931,北九州市八幡東区,槻田五区,1945-02-25,ルソン島,フィリピン方面
37932,北九州市八幡東区,槻田五区,1945-08-09,ビルマ,ビルマ方面
37933,北九州市八幡東区,槻田五区,1943-04-08,中國,中国
37934,北九州市八幡東区,槻田五区,1944-09-11,ビルマ,ビルマ方面
37935,北九州市八幡東区,槻田五区,1945-03-12,ビルマ,ビルマ方面
37937,北九州市八幡東区,槻田五区,1945-02-25,ビルマ,ビルマ方面
37939,北九州市八幡東区,枝光,1945-04-01,台湾海峡,台湾
37940,北九州市八幡東区,枝光,1945-05-24,フィリピン,フィリピン方面
37941,北九州市八幡東区,枝光,1945-11-20,ルソン島,フィリピン方面
37942,北九州市八幡東区,枝光,1945-04-25,ルソン島,フィリピン方面
37943,北九州市八幡東区,枝光,1945-05-15,ルソン島,フィリピン方面
37944,北九州市八幡東区,枝光,1944-12-03,ソロモン群島,ソロモン・ビスマルク諸島
37945,北九州市八幡東区,枝光,1943-03-03,ブーゲンビル,ソロモン・ビスマルク諸島
37947,北九州市八幡東区,枝光,1945-09-15,硫黄島,硫黄島
37948,北九州市八幡東区,枝光,1945-08-05,ビルマ,ビルマ方面
37949,北九州市八幡東区,枝光,1944-07-08,ビルマ,ビルマ方面
37950,北九州市八幡東区,枝光,1945-08-01,ビルマ,ビルマ方面
37951,北九州市八幡東区,枝光,1937-12-05,南京,中国
37953,北九州市八幡東区,枝光,1943-09-12,仲支,中国
37954,北九州市八幡東区,枝光,1944-06-20,ビアク島,ニューギニア方面
37955,北九州市八幡東区,枝光,1944-03-17,硫黄島,硫黄島
37956,北九州市八幡東区,枝光,1944-02-08,鹿児島沖,その他国内
37957,北九州市八幡東区,枝光,1945-05-20,ルソン島,フィリピン方面
37958,北九州市八幡東区,枝光,1944-10-18,比島方面,フィリピン方面
37959,北九州市八幡東区,枝光,1945-03-13,佐世保海軍病院,その他国内
37960,北九州市八幡東区,枝光,1945-05-30,熊本陸軍病院,その他国内
37962,北九州市八幡東区,枝光,1945-09-18,上海平坦病院,中国
37964,北九州市八幡東区,枝光,1944-09-11,中国,中国
37965,北九州市八幡東区,枝光,1945-03-10,硫黄島,硫黄島
37966,北九州市八幡東区,槻田五区,1945-02-03,広東省,中国
37968,北九州市八幡東区,槻田五区,1945-07-30,ルソン島,フィリピン方面
37969,北九州市八幡東区,槻田五区,1945-06-23,北ボルネオ,ボルネオ
37970,北九州市八幡東区,槻田五区,1945-03-24,南西諸島,沖縄
37972,北九州市八幡東区,槻田五区,1944-12-14,南洋郡島,ミクロネシア
37973,北九州市八幡東区,槻田五区,1945-07-07,ルソン島,フィリピン方面
37974,北九州市八幡東区,槻田五区,1944-09-10,"中
国",中国
37975,北九州市八幡東区,槻田五区,1944-07-25,ビルマ,ビルマ方面
37977,北九州市八幡東区,槻田五区,1945-04-12,ビルマ,ビルマ方面
37978,北九州市八幡東区,槻田五区,1945-06-20,沖縄郡島,沖縄
37979,北九州市八幡東区,槻田五区,1944-04-04,ビルマ,ビルマ方面
37980,北九州市八幡東区,槻田五区,1944-09-29,ビルマ国,ビルマ方面
37981,北九州市八幡東区,槻田五区,1946-04-24,南ボルネオ,ボルネオ
37982,北九州市八幡東区,槻田五区,1945-04-30,ルソン島,フィリピン方面
37983,北九州市八幡東区,槻田五区,1944-06-30,ニューギニア,ニューギニア方面
37984,北九州市八幡東区,槻田五区,1943-01-01,ガダルカナル島,ソロモン・ビスマルク諸島
37985,北九州市八幡東区,槻田五区,1943-04-12,中国,中国
37987,北九州市八幡東区,槻田五区,1944-03-11,"満州
国",満州方面
37988,北九州市八幡東区,槻田五区,1945-05-06,中国,中国
37989,北九州市八幡東区,槻田五区,1944-07-05,東シナ海,東シナ海
37990,北九州市八幡東区,槻田五区,1945-03-15,上海,中国
37991,北九州市八幡東区,槻田五区,1944-06-06,東シナ海,東シナ海
37992,北九州市八幡東区,槻田五区,1945-08-26,孫呉,満州方面
37993,北九州市八幡東区,槻田五区,1945-11-10,"中
國",中国
37995,北九州市八幡東区,槻田五区,1945-08-20,大村陸軍病院,その他国内
37996,北九州市八幡東区,槻田五区,1945-12-20,小倉陸軍病院,福岡県内
37997,北九州市八幡東区,槻田五区,1944-02-15,済州島沖,朝鮮
37998,北九州市八幡東区,槻田五区,1947-08-22,自宅,福岡県内
38000,北九州市八幡東区,槻田五区,1945-02-12,フィリピン,フィリピン方面
38001,北九州市八幡東区,槻田五区,1944-09-09,バシー海峡,バシー海峡
38002,北九州市八幡東区,槻田五区,1944-06-27,東部ニューギニア,ニューギニア方面
38003,北九州市八幡東区,槻田五区,1945-08-04,ミンダナオ島,フィリピン方面
38004,北九州市八幡東区,槻田五区,1944-07-28,ビルマ,ビルマ方面
38005,北九州市八幡東区,槻田五区,1945-10-10,シャム国,タイ
38007,北九州市八幡東区,槻田五区,1944-06-27,ビルマ,ビルマ方面
38008,北九州市八幡東区,槻田五区,1945-03-01,南西諸島,沖縄
38009,北九州市八幡東区,槻田五区,1944-12-18,ビルマ,ビルマ方面
38010,北九州市八幡東区,槻田五区,1945-04-20,フィリピン,フィリピン方面
38011,北九州市八幡東区,槻田五区,1945-09-21,ビルマ,ビルマ方面
38012,北九州市八幡東区,槻田五区,1945-03-29,沖縄海上,沖縄
38013,北九州市八幡東区,槻田五区,1944-07-19,ビルマ国,ビルマ方面
38014,北九州市八幡東区,槻田五区,1945-03-14,南方海面,太平洋方面
38015,北九州市八幡東区,槻田五区,1945-07-20,福岡陸軍病院,福岡県内
38017,北九州市八幡東区,槻田五区,1944-08-13,雲南省,中国
38018,北九州市八幡東区,槻田五区,1939-04-19,山西省,中国
38019,北九州市八幡東区,槻田五区,1945-02-11,ミンダナオ島,フィリピン方面
38020,北九州市八幡東区,槻田五区,1942-05-10,中國,中国
38021,北九州市八幡東区,槻田五区,1945-05-20,ビルマ,ビルマ方面
38023,北九州市八幡東区,槻田五区,1943-07-24,小倉陸軍病院,福岡県内
38024,北九州市八幡東区,槻田五区,1939-12-18,広西省,中国
38025,北九州市八幡東区,槻田五区,1944-10-27,硫黄島,硫黄島
38027,北九州市八幡東区,槻田五区,1939-11-08,北京陸軍病院,中国
38028,北九州市八幡東区,槻田五区,1944-12-12,濠北方面,ニューギニア方面
38029,北九州市八幡東区,槻田五区,1944-09-14,ビルマ,ビルマ方面
38031,北九州市八幡東区,槻田五区,1945-05-05,黄海,中国
38032,北九州市八幡東区,槻田五区,1939-08-24,"満州
國",満州方面
38033,北九州市八幡東区,槻田五区,1945-07-29,朝鮮海峡,朝鮮
38034,北九州市八幡東区,槻田五区,1945-05-11,ニューギニア,ニューギニア方面
38035,北九州市八幡東区,槻田五区,1944-07-03,ビルマ,ビルマ方面
38036,北九州市八幡東区,槻田五区,1945-06-10,ルソン島,フィリピン方面
38037,北九州市八幡東区,槻田五区,1945-03-17,硫黄島,硫黄島
38038,北九州市八幡東区,槻田五区,1944-07-16,ビルマ地方,ビルマ方面
38039,北九州市八幡東区,槻田五区,1943-11-30,中国,中国
38040,北九州市八幡東区,槻田五区,1945-06-14,沖縄,沖縄
38041,北九州市八幡東区,槻田五区,1946-12-18,ソ連,ソ連
38042,北九州市八幡東区,槻田五区,1945-08-16,中支,中国
38043,北九州市八幡東区,槻田五区,1944-10-28,ビルマ,ビルマ方面
38044,北九州市八幡東区,槻田五区,1944-04-12,南シナ海,南シナ海
38045,北九州市八幡東区,槻田五区,1943-02-28,静岡県,その他国内
38046,北九州市八幡東区,槻田五区,1945-12-01,病死,不明
38048,北九州市八幡東区,槻田五区,1944-03-20,ニューギニア,ニューギニア方面
38050,北九州市八幡東区,槻田五区,1944-06-22,ニューギニア,ニューギニア方面
38052,北九州市八幡東区,槻田五区,1945-07-11,ビルマ,ビルマ方面
38054,北九州市八幡東区,槻田五区,1945-03-07,フィリピン,フィリピン方面
38055,北九州市八幡東区,槻田五区,1943-02-28,蘭印方面,不明
38056,北九州市八幡東区,槻田五区,1945-03-20,ビルマ国,ビルマ方面
38057,北九州市八幡東区,槻田五区,1944-01-20,ニューギニア,ニューギニア方面
38058,北九州市八幡東区,槻田五区,1942-10-21,東シナ海,東シナ海
38059,北九州市八幡東区,槻田五区,1944-09-14,ビルマ,ビルマ方面
